Route,Type,Time
50,Send,3/27/23 6:08 AM
8040,Send,3/28/23 2:49 PM
56,Send,3/27/23 2:49 PM
6,Send,3/27/23 2:14 PM
51,Send,3/28/23 5:56 AM
50,Send,3/28/23 11:34 AM
6,Send,3/28/23 1:38 PM
47,Send,3/28/23 2:30 PM
12,Send,3/28/23 3:07 PM
51,Send,3/28/23 2:12 PM
12,Send,12/16/22 2:49 PM
8040,Send,12/16/22 5:07 PM
8010,Send,12/19/22 5:09 PM
50,Send,12/16/22 2:08 PM
8010,Send,12/16/22 2:12 PM
47,Send,12/20/22 1:57 PM
12,Send,12/20/22 1:59 PM
8010,Send,12/20/22 2:18 PM
56,Send,12/20/22 3:48 PM
12,Send,1/9/23 2:54 PM
47,Send,1/9/23 3:00 PM
56,Send,1/9/23 4:02 PM
8040,Send,1/9/23 4:22 PM
51,Send,1/9/23 5:06 PM
51,Send,1/9/23 5:06 PM
51,Send,1/10/23 11:41 AM
47,Send,1/10/23 2:13 PM
8040,Send,1/10/23 2:51 PM
6,Send,1/10/23 2:58 PM
8010,Send,1/10/23 1:06 PM
52,Send,1/10/23 1:28 PM
50,Send,1/10/23 2:41 PM
51,Send,12/14/22 12:53 PM
50,Send,12/14/22 1:19 PM
56,Send,12/14/22 2:12 PM
6,Send,12/14/22 3:24 PM
8010,Send,12/14/22 3:25 PM
47,Send,12/14/22 4:56 PM
12,Send,12/14/22 6:02 PM
51,Send,12/15/22 1:05 PM
8010,Send,12/15/22 1:38 PM
50,Send,12/15/22 1:40 PM
8040,Send,12/14/22 5:21 PM
50,Send,12/15/22 1:40 PM
6,Send,12/15/22 2:09 PM
8040,Send,12/15/22 3:11 PM
51,Send,12/27/22 12:38 PM
47,Send,12/27/22 4:00 PM
47,Send,12/27/22 4:00 PM
56,Send,12/27/22 5:25 PM
51,Send,12/28/22 10:52 AM
56,Send,12/28/22 1:26 PM
47,Send,12/28/22 2:38 PM
52,Send,12/28/22 12:02 PM
50,Send,12/28/22 12:08 PM
8010,Send,12/28/22 4:55 PM
51,Send,12/20/22 1:17 PM
6,Send,12/20/22 1:29 PM
6,Send,12/20/22 1:29 PM
8040,Send,12/20/22 3:39 PM
52,Send,12/21/22 11:13 AM
8040,Send,12/21/22 1:42 PM
52,Send,12/22/22 11:53 AM
6,Send,12/22/22 3:21 PM
6,Send,12/22/22 3:21 PM
51,Send,12/22/22 3:35 PM
56,Send,12/22/22 3:52 PM
51,Send,12/22/22 11:42 AM
8040,Send,12/22/22 12:17 PM
50,Send,12/22/22 4:53 PM
47,Send,12/22/22 9:05 PM
8010,Send,12/22/22 5:48 PM
52,Send,12/22/22 2:09 PM
8010,Send,12/22/22 2:31 PM
47,Send,12/22/22 9:17 PM
50,Send,1/17/23 12:05 PM
47,Send,1/17/23 2:15 PM
50,Send,1/17/23 2:22 PM
12,Send,1/17/23 2:24 PM
6,Send,1/17/23 2:26 PM
8040,Send,1/17/23 4:32 PM
56,Send,1/17/23 4:39 PM
50,Send,1/18/23 6:00 AM
50,Send,1/18/23 12:25 PM
51,Send,1/18/23 12:45 PM
6,Send,1/18/23 2:13 PM
8010,Send,1/18/23 2:17 PM
8040,Send,1/18/23 2:40 PM
52,Send,1/18/23 11:31 AM
56,Send,1/18/23 3:28 PM
12,Send,1/18/23 4:12 PM
47,Send,1/18/23 4:16 PM
8010,Send,12/26/22 11:41 AM
47,Send,12/26/22 1:17 PM
56,Send,12/26/22 1:25 PM
51,Send,12/26/22 12:42 PM
52,Send,12/27/22 1:33 PM
8040,Send,12/27/22 1:59 PM
8010,Send,12/27/22 2:02 PM
50,Send,12/27/22 2:32 PM
47,Send,12/27/22 2:42 PM
6,Send,12/27/22 2:44 PM
12,Send,12/27/22 3:45 PM
8040,Send,12/23/22 12:54 PM
52,Send,2/8/23 12:08 PM
51,Send,2/8/23 12:46 PM
56,Send,2/8/23 2:55 PM
50,Send,2/8/23 11:57 AM
6,Send,2/8/23 2:32 PM
8040,Send,2/8/23 2:32 PM
12,Send,2/8/23 3:58 PM
8010,Send,2/8/23 4:05 PM
50,Send,2/9/23 5:34 AM
47,Send,2/8/23 3:32 PM
8040,Send,2/9/23 11:15 AM
50,Send,2/9/23 1:17 PM
12,Send,5/15/23 3:14 PM
52,Send,5/15/23 12:31 PM
50,Send,5/15/23 12:36 PM
8040,Send,5/15/23 12:38 PM
8010,Send,5/15/23 12:54 PM
47,Send,5/15/23 3:30 PM
47,Send,5/15/23 3:31 PM
56,Send,5/15/23 3:40 PM
8040,Send,5/16/23 12:26 PM
52,Send,5/16/23 12:31 PM
50,Send,5/16/23 12:41 PM
6,Send,5/16/23 1:07 PM
47,Send,5/16/23 1:51 PM
8010,Send,5/16/23 1:25 PM
12,Send,5/16/23 2:27 PM
12,Send,5/16/23 2:27 PM
50,Send,4/24/23 6:03 AM
12,Send,4/24/23 3:54 PM
52,Send,4/24/23 7:38 AM
8010,Send,4/24/23 2:16 PM
56,Send,4/24/23 2:45 PM
51,Send,4/24/23 2:57 PM
51,Send,4/24/23 3:01 PM
52,Send,3/28/23 12:09 PM
56,Send,3/28/23 4:27 PM
50,Send,3/29/23 11:59 AM
56,Send,3/29/23 2:35 PM
6,Send,3/29/23 3:47 PM
12,Send,3/29/23 3:54 PM
52,Send,2/15/23 2:25 PM
51,Send,2/15/23 3:19 PM
50,Send,2/15/23 12:26 PM
8040,Send,2/15/23 12:15 PM
56,Send,2/15/23 3:36 PM
6,Send,2/15/23 3:38 PM
8010,Send,2/15/23 3:07 PM
50,Send,2/16/23 6:01 AM
51,Send,2/13/23 2:08 PM
12,Send,2/13/23 4:12 PM
52,Send,2/13/23 7:34 PM
8010,Send,2/14/23 12:12 PM
50,Send,2/14/23 12:25 PM
50,Send,2/14/23 12:25 PM
51,Send,2/14/23 2:06 PM
56,Send,2/14/23 4:48 PM
52,Send,2/14/23 4:56 PM
47,Send,2/14/23 3:03 PM
12,Send,2/14/23 3:06 PM
6,Send,2/14/23 3:20 PM
8040,Send,2/14/23 3:31 PM
51,Send,2/21/23 12:12 PM
52,Send,2/21/23 1:12 PM
8040,Send,2/21/23 1:44 PM
8010,Send,2/21/23 12:21 PM
47,Send,2/21/23 1:03 PM
12,Send,2/21/23 2:57 PM
12,Send,2/21/23 2:58 PM
6,Send,2/21/23 4:23 PM
50,Send,2/21/23 11:52 AM
50,Send,2/22/23 5:59 AM
56,Send,2/21/23 4:46 PM
56,Send,2/21/23 4:46 PM
6,Send,2/10/23 2:26 PM
6,Send,2/10/23 2:43 PM
6,Send,2/10/23 2:51 PM
8040,Send,2/13/23 1:25 PM
50,Send,2/13/23 1:27 PM
47,Send,2/13/23 1:53 PM
56,Send,2/13/23 2:25 PM
56,Send,2/13/23 2:27 PM
6,Send,2/13/23 3:07 PM
8010,Send,2/13/23 1:39 PM
47,Send,2/13/23 2:40 PM
52,Send,6/1/23 12:01 PM
56,Send,6/1/23 2:18 PM
8040,Send,6/1/23 2:24 PM
8040,Send,6/1/23 2:25 PM
51,Send,6/1/23 1:56 PM
47,Send,6/1/23 3:01 PM
6,Send,6/1/23 3:23 PM
6,Send,6/1/23 3:23 PM
6,Send,5/18/23 3:28 PM
51,Send,5/18/23 3:56 PM
12,Send,5/18/23 4:11 PM
8010,Send,5/19/23 12:07 PM
12,Send,5/19/23 12:30 PM
6,Send,5/19/23 12:50 PM
6,Send,5/19/23 12:50 PM
8010,Send,5/19/23 1:06 PM
52,Send,5/19/23 10:01 AM
8040,Send,5/19/23 11:33 AM
50,Send,5/19/23 1:32 PM
50,Send,5/19/23 1:32 PM
47,Send,5/19/23 1:32 PM
56,Send,5/19/23 1:33 PM
51,Send,5/19/23 1:48 PM
52,Send,5/4/23 11:01 AM
50,Send,5/4/23 2:05 PM
50,Send,5/4/23 2:06 PM
51,Send,5/4/23 2:19 PM
12,Send,5/4/23 3:09 PM
56,Send,5/4/23 3:11 PM
8010,Send,5/4/23 12:42 PM
47,Send,5/4/23 1:44 PM
6,Send,5/4/23 2:29 PM
6,Send,5/4/23 2:31 PM
6,Send,5/4/23 2:31 PM
8040,Send,5/4/23 2:34 PM
12,Send,5/5/23 7:55 AM
52,Send,5/5/23 10:08 AM
51,Send,3/6/23 6:22 AM
6,Send,3/8/23 1:53 PM
6,Send,3/8/23 2:04 PM
6,Send,3/8/23 2:05 PM
6,Send,3/8/23 2:05 PM
6,Send,3/8/23 2:05 PM
6,Send,3/8/23 2:08 PM
50,Send,3/8/23 11:50 AM
50,Send,3/8/23 12:00 PM
8040,Send,3/8/23 2:17 PM
52,Send,3/8/23 12:15 PM
56,Send,3/8/23 1:17 PM
52,Send,3/9/23 11:07 AM
8040,Send,3/9/23 11:29 AM
51,Send,3/9/23 12:56 PM
56,Send,3/7/23 5:23 PM
12,Send,3/8/23 3:25 PM
56,Send,3/6/23 3:14 PM
52,Send,3/6/23 11:23 AM
47,Send,3/8/23 2:53 PM
47,Send,1/5/23 3:36 PM
50,Send,1/6/23 6:04 AM
56,Send,1/6/23 8:46 AM
51,Send,1/6/23 9:58 AM
8010,Send,1/6/23 11:03 AM
8010,Send,1/6/23 11:04 AM
52,Send,1/6/23 11:10 AM
6,Send,1/6/23 11:38 AM
12,Send,1/10/23 4:02 PM
56,Send,1/10/23 4:54 PM
56,Send,1/10/23 5:06 PM
8040,Send,1/12/23 11:42 AM
52,Send,1/12/23 12:34 PM
8010,Send,1/12/23 12:54 PM
50,Send,1/12/23 1:41 PM
51,Send,1/12/23 3:26 PM
56,Send,1/12/23 3:27 PM
6,Send,1/12/23 2:32 PM
12,Send,1/12/23 4:07 PM
47,Send,1/12/23 4:24 PM
51,Send,1/12/23 3:50 PM
51,Send,1/16/23 12:56 PM
47,Send,1/16/23 1:51 PM
8010,Send,1/16/23 2:18 PM
6,Send,1/16/23 2:24 PM
8040,Send,1/16/23 2:41 PM
12,Send,1/16/23 4:07 PM
52,Send,1/17/23 12:47 PM
56,Send,1/16/23 3:01 PM
8010,Send,1/17/23 12:34 PM
51,Send,1/17/23 1:05 PM
52,Send,3/20/23 1:23 PM
47,Send,3/20/23 2:54 PM
51,Send,3/21/23 6:12 AM
12,Send,3/21/23 1:22 PM
50,Send,3/21/23 1:25 PM
8040,Send,3/21/23 2:22 PM
8010,Send,3/21/23 12:38 PM
52,Send,3/21/23 12:46 PM
51,Send,3/21/23 1:33 PM
6,Send,3/21/23 1:41 PM
47,Send,3/21/23 1:12 PM
56,Send,4/4/23 4:19 PM
12,Send,4/4/23 1:36 PM
56,Send,4/5/23 12:44 PM
52,Send,4/5/23 11:22 AM
51,Send,4/5/23 1:13 PM
6,Send,4/5/23 1:19 PM
6,Send,4/5/23 1:19 PM
8040,Send,4/5/23 1:21 PM
52,Send,3/30/23 10:45 AM
8040,Send,3/30/23 12:15 PM
6,Send,3/30/23 2:18 PM
51,Send,3/30/23 2:54 PM
8010,Send,3/30/23 3:20 PM
56,Send,3/30/23 3:30 PM
47,Send,3/30/23 3:52 PM
50,Send,3/30/23 1:46 PM
12,Send,3/30/23 4:00 PM
52,Send,3/31/23 10:03 AM
6,Send,3/31/23 11:44 AM
51,Send,3/31/23 12:40 PM
52,Send,1/19/23 7:39 AM
8010,Send,1/19/23 12:44 PM
6,Send,1/19/23 2:29 PM
52,Send,1/19/23 11:43 AM
51,Send,1/19/23 1:14 PM
52,Send,1/19/23 11:19 AM
8040,Send,1/19/23 2:05 PM
8040,Send,1/19/23 2:06 PM
50,Send,1/19/23 2:40 PM
50,Send,1/19/23 2:42 PM
12,Send,1/20/23 7:46 AM
47,Send,1/19/23 4:17 PM
12,Send,1/20/23 7:15 AM
12,Send,3/13/23 9:17 AM
12,Send,3/13/23 3:50 PM
47,Send,3/13/23 1:45 PM
50,Send,3/14/23 5:54 AM
8010,Send,3/13/23 3:03 PM
56,Send,3/13/23 3:20 PM
50,Send,3/14/23 12:05 PM
52,Send,3/14/23 12:30 PM
8010,Send,3/14/23 12:45 PM
6,Send,3/14/23 1:10 PM
8010,Send,3/14/23 12:37 PM
8040,Send,3/14/23 2:18 PM
47,Send,3/14/23 3:37 PM
12,Send,3/14/23 3:44 PM
56,Send,3/14/23 4:35 PM
51,Send,3/15/23 7:33 AM
52,Send,3/15/23 10:51 AM
50,Send,3/15/23 12:27 PM
8040,Send,3/15/23 12:30 PM
8010,Send,3/15/23 2:56 PM
8040,Send,3/29/23 11:34 AM
52,Send,3/29/23 12:11 PM
8010,Send,3/29/23 3:24 PM
51,Send,3/29/23 3:58 PM
51,Send,3/29/23 3:58 PM
47,Send,3/29/23 6:03 PM
47,Send,3/29/23 6:03 PM
52,Send,3/16/23 11:18 AM
8040,Send,3/16/23 11:34 AM
56,Send,3/16/23 4:09 PM
51,Send,3/16/23 3:42 PM
51,Send,3/17/23 6:38 AM
52,Send,3/17/23 10:52 AM
8010,Send,3/17/23 11:54 AM
6,Send,3/17/23 12:00 PM
8040,Send,3/17/23 12:02 PM
50,Send,3/17/23 1:02 PM
12,Send,3/17/23 1:18 PM
51,Send,3/17/23 1:24 PM
52,Send,4/3/23 12:47 PM
6,Send,4/3/23 1:02 PM
47,Send,4/3/23 1:40 PM
51,Send,4/3/23 1:46 PM
8010,Send,4/3/23 2:32 PM
56,Send,4/3/23 3:00 PM
8040,Send,4/3/23 3:26 PM
12,Send,4/3/23 3:43 PM
50,Send,4/4/23 11:46 AM
51,Send,4/4/23 12:36 PM
52,Send,4/4/23 12:46 PM
52,Send,4/4/23 12:46 PM
8010,Send,4/4/23 1:47 PM
47,Send,4/4/23 1:49 PM
6,Send,4/4/23 2:01 PM
6,Send,4/4/23 2:03 PM
47,Send,4/4/23 3:17 PM
47,Send,4/4/23 3:18 PM
8040,Send,4/4/23 1:23 PM
12,Send,3/31/23 1:33 PM
51,Send,3/31/23 11:48 AM
8010,Send,3/31/23 12:31 PM
50,Send,3/31/23 2:29 PM
56,Send,3/31/23 4:07 PM
47,Send,3/31/23 4:09 PM
8010,Send,3/31/23 12:06 PM
8040,Send,3/31/23 12:21 PM
50,Send,4/3/23 11:40 AM
50,Send,4/27/23 1:41 PM
50,Send,4/27/23 1:41 PM
8040,Send,4/27/23 1:56 PM
8010,Send,4/27/23 12:40 PM
51,Send,4/27/23 2:25 PM
52,Send,4/27/23 11:01 AM
12,Send,4/27/23 3:42 PM
56,Send,4/27/23 2:49 PM
47,Send,4/27/23 4:26 PM
6,Send,4/27/23 3:03 PM
50,Send,4/5/23 10:58 AM
51,Send,4/5/23 1:59 PM
47,Send,4/5/23 2:00 PM
12,Send,4/5/23 1:48 PM
8010,Send,4/5/23 4:08 PM
8010,Send,4/6/23 12:40 PM
50,Send,4/6/23 12:43 PM
52,Send,4/6/23 10:38 AM
6,Send,4/6/23 2:24 PM
12,Send,4/6/23 2:42 PM
51,Send,4/6/23 2:52 PM
8040,Send,4/6/23 11:00 AM
47,Send,4/6/23 3:33 PM
56,Send,4/6/23 3:47 PM
52,Send,12/26/22 11:55 AM
12,Send,12/26/22 12:31 PM
8040,Send,12/26/22 1:10 PM
56,Send,12/23/22 12:31 PM
56,Send,12/23/22 12:32 PM
51,Send,12/23/22 12:38 PM
8010,Send,12/23/22 12:44 PM
12,Send,12/23/22 12:46 PM
12,Send,12/23/22 12:47 PM
50,Send,12/23/22 12:48 PM
50,Send,12/26/22 10:34 AM
6,Send,12/26/22 1:52 PM
8040,Send,12/28/22 2:25 PM
12,Send,12/28/22 3:38 PM
6,Send,12/28/22 3:45 PM
6,Send,12/28/22 3:46 PM
8040,Send,12/29/22 12:47 PM
51,Send,12/29/22 2:07 PM
47,Send,12/29/22 4:47 PM
52,Send,12/29/22 11:29 AM
50,Send,12/30/22 6:29 AM
50,Send,12/29/22 1:23 PM
8010,Send,12/29/22 3:01 PM
12,Send,12/29/22 3:02 PM
56,Send,12/29/22 3:23 PM
51,Send,12/30/22 10:07 AM
52,Send,12/30/22 11:06 AM
51,Send,12/30/22 11:32 AM
52,Send,1/2/23 1:33 PM
56,Send,1/2/23 2:09 PM
8040,Send,1/2/23 11:13 AM
51,Send,1/2/23 11:59 AM
47,Send,1/2/23 12:05 PM
50,Send,1/2/23 12:50 PM
12,Send,1/2/23 1:53 PM
8010,Send,1/2/23 1:58 PM
6,Send,1/2/23 2:36 PM
6,Send,12/29/22 3:18 PM
8010,Send,12/30/22 12:00 PM
8040,Send,12/30/22 1:18 PM
50,Send,12/30/22 1:41 PM
56,Send,12/30/22 2:29 PM
6,Send,12/30/22 12:43 PM
47,Send,12/30/22 4:45 PM
50,Send,1/2/23 6:05 AM
12,Send,12/30/22 3:34 PM
51,Send,1/3/23 1:35 PM
6,Send,1/3/23 2:19 PM
47,Send,1/3/23 2:57 PM
50,Send,1/3/23 3:37 PM
56,Send,1/3/23 4:15 PM
52,Send,1/3/23 1:27 PM
12,Send,1/3/23 2:48 PM
8010,Send,1/3/23 1:00 PM
8040,Send,1/3/23 3:59 PM
12,Send,1/4/23 9:45 AM
52,Send,1/4/23 12:00 PM
50,Send,1/4/23 12:15 PM
8040,Send,1/4/23 1:19 PM
56,Send,1/4/23 2:22 PM
6,Send,1/4/23 2:34 PM
51,Send,1/6/23 10:19 AM
50,Send,1/6/23 11:57 AM
56,Send,1/6/23 3:15 PM
8040,Send,1/6/23 3:34 PM
12,Send,1/6/23 3:35 PM
47,Send,1/6/23 3:36 PM
52,Send,1/9/23 1:13 PM
50,Send,1/9/23 6:04 AM
8010,Send,1/9/23 1:49 PM
50,Send,1/9/23 2:13 PM
50,Send,1/9/23 2:13 PM
6,Send,1/9/23 2:41 PM
51,Send,1/13/23 9:00 AM
52,Send,1/13/23 10:49 AM
52,Send,1/13/23 11:17 AM
8010,Send,1/13/23 12:08 PM
50,Send,1/13/23 1:02 PM
8040,Send,1/13/23 1:50 PM
6,Send,1/13/23 11:50 AM
50,Send,1/13/23 1:07 PM
56,Send,1/13/23 3:04 PM
50,Send,1/13/23 1:23 PM
12,Send,1/13/23 2:16 PM
47,Send,1/13/23 3:54 PM
52,Send,1/16/23 1:18 PM
50,Send,1/16/23 1:20 PM
50,Send,1/16/23 1:20 PM
52,Send,1/16/23 7:23 AM
8010,Send,1/4/23 3:33 PM
47,Send,1/4/23 3:52 PM
12,Send,1/4/23 4:28 PM
51,Send,1/5/23 5:22 AM
8010,Send,1/5/23 1:33 PM
6,Send,1/5/23 2:23 PM
51,Send,1/5/23 2:24 PM
8040,Send,1/5/23 12:30 PM
52,Send,1/5/23 12:31 PM
52,Send,1/5/23 12:31 PM
12,Send,1/5/23 3:45 PM
47,Send,2/27/23 1:18 PM
50,Send,2/27/23 1:21 PM
51,Send,2/27/23 3:30 PM
8040,Send,2/27/23 5:57 PM
8010,Send,2/27/23 2:35 PM
56,Send,2/27/23 2:43 PM
6,Send,2/27/23 12:49 PM
12,Send,2/27/23 4:44 PM
56,Send,2/27/23 2:49 PM
56,Send,2/27/23 2:49 PM
56,Send,2/27/23 2:49 PM
50,Send,2/28/23 5:57 AM
50,Send,2/28/23 11:58 AM
8010,Send,3/22/23 4:23 PM
52,Send,3/23/23 10:59 AM
8040,Send,3/23/23 11:22 AM
8010,Send,3/23/23 12:13 PM
8010,Send,3/23/23 12:15 PM
50,Send,3/23/23 1:56 PM
6,Send,3/23/23 2:48 PM
56,Send,3/23/23 4:13 PM
12,Send,3/23/23 4:16 PM
12,Send,3/23/23 4:16 PM
51,Send,3/23/23 4:20 PM
47,Send,3/23/23 4:24 PM
8010,Send,3/27/23 1:48 PM
47,Send,3/27/23 1:52 PM
8040,Send,3/27/23 1:58 PM
12,Send,3/27/23 3:11 PM
8010,Send,3/28/23 12:58 PM
6,Send,3/10/23 11:34 AM
50,Send,3/10/23 1:28 PM
12,Send,3/10/23 3:05 PM
52,Send,3/10/23 10:32 AM
47,Send,3/10/23 4:12 PM
51,Send,3/10/23 12:47 PM
51,Send,3/10/23 12:47 PM
51,Send,3/10/23 12:47 PM
8010,Send,3/10/23 1:17 PM
56,Send,3/10/23 3:39 PM
50,Send,3/13/23 1:21 PM
6,Send,3/13/23 1:55 PM
8040,Send,3/13/23 1:58 PM
52,Send,3/13/23 2:46 PM
51,Send,3/13/23 3:38 PM
51,Send,3/13/23 3:41 PM
50,Send,3/3/23 12:35 PM
50,Send,3/3/23 12:59 PM
8010,Send,3/3/23 1:13 PM
56,Send,3/3/23 3:26 PM
52,Send,3/27/23 12:38 PM
50,Send,3/27/23 1:16 PM
52,Send,3/3/23 10:50 AM
8040,Send,3/10/23 12:01 PM
47,Send,3/3/23 3:30 PM
12,Send,3/3/23 3:39 PM
12,Send,3/3/23 3:46 PM
56,Send,3/3/23 3:47 PM
12,Send,3/1/23 2:34 PM
56,Send,3/1/23 3:29 PM
8040,Send,3/1/23 12:49 PM
6,Send,3/1/23 1:26 PM
8010,Send,3/1/23 4:36 PM
51,Send,3/1/23 2:14 PM
52,Send,3/2/23 11:24 AM
6,Send,3/2/23 2:10 PM
8010,Send,3/2/23 2:59 PM
51,Send,3/2/23 2:59 PM
12,Send,3/2/23 3:32 PM
8040,Send,3/2/23 11:56 AM
50,Send,3/2/23 3:13 PM
47,Send,3/2/23 4:37 PM
56,Send,3/2/23 4:39 PM
6,Send,3/3/23 11:26 AM
8040,Send,3/3/23 12:31 PM
56,Send,3/17/23 4:10 PM
47,Send,3/17/23 4:02 PM
50,Send,3/20/23 6:01 AM
50,Send,3/20/23 12:50 PM
8010,Send,3/20/23 2:09 PM
12,Send,3/20/23 1:51 PM
8040,Send,3/20/23 2:17 PM
6,Send,3/20/23 2:24 PM
56,Send,3/20/23 3:34 PM
47,Send,3/15/23 1:08 PM
6,Send,3/15/23 2:02 PM
51,Send,3/16/23 6:27 AM
51,Send,3/16/23 6:27 AM
12,Send,3/15/23 4:04 PM
56,Send,3/15/23 4:21 PM
51,Send,3/16/23 6:26 AM
12,Send,3/16/23 1:44 PM
6,Send,3/16/23 3:29 PM
47,Send,3/16/23 3:32 PM
8010,Send,3/16/23 12:55 PM
50,Send,3/16/23 12:58 PM
56,Send,5/26/23 2:49 PM
47,Send,5/30/23 11:19 AM
50,Send,5/30/23 11:59 AM
52,Send,5/30/23 12:44 PM
8010,Send,5/30/23 1:11 PM
51,Send,5/30/23 2:03 PM
56,Send,5/30/23 2:59 PM
8040,Send,5/30/23 2:59 PM
